City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,upernavik,72.7868,-56.1549,-24.32,100,99,2.1,GL,1675564677
1,beira,-19.8436,34.8389,24.05,100,20,1.03,MZ,1675564677
2,graciano sanchez,23.9167,-99.2833,14.58,58,69,1.02,MX,1675564678
3,albany,42.6001,-73.9662,-8.21,55,39,2.48,US,1675564526
4,yar-sale,66.8333,70.8333,-17.87,100,81,2.34,RU,1675564678
5,imeni poliny osipenko,52.4201,136.4853,-20.23,90,100,2.26,RU,1675564679
6,saint anthony,45.0205,-93.218,-3.06,82,0,1.34,US,1675564680
7,vaini,-21.2,-175.2,30.09,74,75,6.17,TO,1675564605
8,trincomalee,8.5711,81.2335,26.1,73,89,4.4,LK,1675564681
9,pallasovka,50.05,46.8833,-7.56,93,96,2.57,RU,1675564681
10,new norfolk,-42.7826,147.0587,24.84,39,0,4.02,AU,1675564683
11,shebalino,51.2917,85.6772,-4.28,95,100,0.38,RU,1675564684
12,puerto ayora,-0.7393,-90.3518,26.42,93,80,3.13,EC,1675564686
13,sobolevo,54.4299,31.8996,-6.61,94,100,4.78,RU,1675564688
14,coronado,32.6859,-117.1831,17.22,77,20,3.09,US,1675564689
15,nikolskoye,59.7035,30.7861,-5.06,98,93,1.84,RU,1675564691
16,kapaa,22.0752,-159.319,24.18,81,100,9.26,US,1675564692
17,busselton,-33.65,115.3333,31.3,27,31,3.62,AU,1675564692
18,cape town,-33.9258,18.4232,21.6,88,75,6.17,ZA,1675564502
19,geraldton,-28.7667,114.6,28.23,65,24,5.66,AU,1675564696
20,bonthe,7.5264,-12.505,24.22,94,23,0.9,SL,1675564698
21,orlik,52.5178,99.825,-17.26,94,100,0.94,RU,1675564699
22,port elizabeth,-33.918,25.5701,22.83,74,0,1.54,ZA,1675564695
23,port lincoln,-34.7333,135.8667,21.06,57,26,3.97,AU,1675564701
24,olinda,-8.0089,-34.8553,26.85,83,75,3.09,BR,1675564702
25,zheleznodorozhnyy,55.7503,38.0042,-0.88,98,100,1.55,RU,1675564703
26,quba,41.3626,48.5152,0.59,82,100,1.53,AZ,1675564706
27,rikitea,-23.1203,-134.9692,25.87,77,20,5.91,PF,1675564709
28,jamestown,42.097,-79.2353,-1.36,38,0,5.14,US,1675564464
29,porbandar,21.6422,69.6093,20.86,42,20,3.12,IN,1675564712
30,naze,28.3667,129.4833,16.51,62,100,3.97,JP,1675564689
31,tautira,-17.7333,-149.15,26.65,79,97,5.63,PF,1675564713
32,fortuna,40.5982,-124.1573,13.7,81,100,7.2,US,1675564713
33,ancud,-41.8697,-73.8203,14.47,92,68,0.54,CL,1675564714
34,nijar,36.9665,-2.206,5.8,66,0,3.09,ES,1675564715
35,antofagasta,-23.65,-70.4,22.6,76,21,1.03,CL,1675564715
36,kodiak,57.79,-152.4072,0.73,80,100,0.0,US,1675564716
37,dali,25.7,100.1833,14.0,30,0,2.07,CN,1675564716
38,sabang,5.8933,95.3214,27.66,74,34,6.88,ID,1675564717
39,tasiilaq,65.6145,-37.6368,-2.91,94,100,16.02,GL,1675564717
40,suoyarvi,62.0833,32.35,-20.3,99,73,1.32,RU,1675564718
41,henties bay,-22.116,14.2845,17.63,87,100,2.63,NA,1675564718
42,ushuaia,-54.8,-68.3,10.81,76,40,3.09,AR,1675564719
43,talnakh,69.4865,88.3972,-10.44,95,100,3.31,RU,1675564719
44,tuktoyaktuk,69.4541,-133.0374,-43.0,66,0,1.03,CA,1675564720
45,bathurst,-33.4166,149.5806,27.76,30,0,0.45,AU,1675564720
46,yellowknife,62.456,-114.3525,-28.71,76,20,0.0,CA,1675564618
47,torbay,47.6666,-52.7314,-9.17,87,100,16.98,CA,1675564721
48,andilamena,-17.0167,48.5833,17.71,97,100,0.76,MG,1675564722
49,carnarvon,-24.8667,113.6333,28.51,62,19,5.17,AU,1675564660
50,buzmeyin,38.0507,58.2056,2.85,93,75,3.09,TM,1675564723
51,carepa,7.7585,-76.6525,23.93,90,81,2.68,CO,1675564723
52,cabedelo,-6.9811,-34.8339,26.37,81,38,3.83,BR,1675564724
53,hukuntsi,-24.0,21.75,22.97,68,100,5.88,BW,1675564724
54,arraial do cabo,-22.9661,-42.0278,24.48,92,15,2.5,BR,1675564725
55,jinchang,38.4953,102.1739,1.33,30,22,0.71,CN,1675564726
56,saint-philippe,-21.3585,55.7679,24.77,84,98,3.99,RE,1675564726
57,oistins,13.0667,-59.5333,26.05,73,40,7.72,BB,1675564727
58,grindavik,63.8424,-22.4338,4.39,93,100,15.43,IS,1675564727
59,husavik,66.0449,-17.3389,-1.12,77,93,7.84,IS,1675564728
60,catio,11.2833,-15.25,21.25,70,28,0.83,GW,1675564728
61,sulangan,11.1373,123.7228,26.79,76,100,4.94,PH,1675564729
62,port alfred,-33.5906,26.891,22.88,73,84,4.44,ZA,1675564729
63,severo-kurilsk,50.6789,156.125,-1.68,67,98,3.1,RU,1675564605
64,dikson,73.5069,80.5464,-21.67,99,100,1.71,RU,1675564678
65,chodavaram,17.8333,82.95,17.91,50,5,0.13,IN,1675564730
66,quballat,36.5418,9.6633,10.64,80,99,4.05,TN,1675564731
67,lebu,-37.6167,-73.65,14.75,94,81,2.42,CL,1675564731
68,rondonopolis,-16.4708,-54.6356,22.89,94,100,0.69,BR,1675564732
69,bethel,41.3712,-73.414,-4.08,51,75,2.57,US,1675564494
70,castro,-24.7911,-50.0119,16.72,93,100,2.13,BR,1675564606
71,hilo,19.7297,-155.09,25.71,76,75,3.6,US,1675564457
72,bua yai,15.5855,102.4259,28.95,87,74,1.14,TH,1675564733
73,surt,31.2089,16.5887,13.91,71,49,3.65,LY,1675564734
74,nioro,13.35,-15.75,22.9,13,89,2.99,GM,1675564734
75,bambous virieux,-20.3428,57.7575,26.14,83,40,2.06,MU,1675564735
76,faya,18.3851,42.4509,7.29,53,57,0.85,SA,1675564736
77,bekwai,6.4534,-1.5774,20.49,88,100,1.33,GH,1675564736
78,vilcun,-38.65,-72.2333,13.41,77,45,0.15,CL,1675564737
79,tadine,-21.55,167.8833,29.16,78,100,6.5,NC,1675564737
80,cayenne,4.9333,-52.3333,24.02,94,100,2.57,GF,1675564516
81,punta arenas,-53.15,-70.9167,12.06,82,40,10.8,CL,1675564576
82,atuona,-9.8,-139.0333,26.33,74,29,8.46,PF,1675564724
83,filiatra,37.15,21.5833,6.5,62,73,12.21,GR,1675564738
84,kalmunai,7.4167,81.8167,26.35,77,98,4.53,LK,1675564739
85,butaritari,3.0707,172.7902,27.23,82,87,8.12,KI,1675564723
86,qaanaaq,77.484,-69.3632,-22.06,65,10,1.54,GL,1675564740
87,hobart,-42.8794,147.3294,25.03,45,20,3.09,AU,1675564740
88,marquette,46.5333,-87.6335,-5.47,60,100,1.79,US,1675564696
89,mar del plata,-38.0023,-57.5575,19.37,77,0,2.24,AR,1675564741
90,sitka,57.0531,-135.33,2.94,87,100,5.66,US,1675564474
91,nuuk,64.1835,-51.7216,-15.07,84,100,14.31,GL,1675564744
92,tigil,57.8,158.6667,-16.39,92,63,0.88,RU,1675564745
93,meulaboh,4.1363,96.1285,26.91,71,100,1.33,ID,1675564746
94,vila velha,-20.3297,-40.2925,26.97,85,0,5.14,BR,1675564748
95,nara,34.6851,135.8049,8.87,49,13,1.86,JP,1675564749
96,dharchula,29.85,80.5333,14.65,20,0,2.02,IN,1675564751
97,cherskiy,68.75,161.3,-37.38,100,96,0.43,RU,1675564753
98,dingle,10.9995,122.6711,28.2,71,35,5.57,PH,1675564756
99,mataura,-46.1927,168.8643,15.8,99,100,1.35,NZ,1675564758
100,axim,4.8699,-2.2405,25.71,90,17,3.13,GH,1675564759
101,beringovskiy,63.05,179.3167,-26.88,86,99,6.94,RU,1675564763
102,jalu,29.0331,21.5482,10.98,53,62,2.48,LY,1675564719
103,aktash,50.3,87.7333,-13.52,93,100,1.14,RU,1675564767
104,tura,25.5198,90.2201,19.99,42,3,1.13,IN,1675564737
105,vestmannaeyjar,63.4427,-20.2734,6.12,89,100,16.4,IS,1675564613
106,chuy,-33.6971,-53.4616,19.53,91,99,8.69,UY,1675564772
107,salinopolis,-0.6136,-47.3561,25.91,87,100,4.95,BR,1675564772
108,barrow,71.2906,-156.7887,-28.99,76,100,4.63,US,1675564773
109,arlit,18.7369,7.3853,20.33,11,58,4.3,NE,1675564773
110,tutoia,-2.7619,-42.2744,26.24,86,46,4.8,BR,1675564774
111,east london,-33.0153,27.9116,23.4,81,100,5.84,ZA,1675564566
112,ponte nova,-20.4164,-42.9086,20.98,95,10,0.31,BR,1675564774
113,praia,14.9215,-23.5087,20.3,77,0,8.23,CV,1675564775
114,dwarka,22.2394,68.9678,20.62,65,0,4.12,IN,1675564775
115,kavaratti,10.5669,72.642,27.33,67,6,1.52,IN,1675564776
116,loviisa,60.4566,26.2251,-10.72,90,42,1.5,FI,1675564777
117,san patricio,28.017,-97.5169,15.92,77,2,2.9,US,1675564777
118,cururupu,-1.8283,-44.8683,23.67,97,94,1.56,BR,1675564778
119,hakkari,37.5833,44.1667,-7.12,93,75,1.03,TR,1675564778
120,palmer,42.1584,-72.3287,-9.1,38,100,3.09,US,1675564716
121,norman wells,65.282,-126.8329,-25.98,70,75,1.54,CA,1675564713
122,katobu,-4.9408,122.5276,28.04,74,100,1.68,ID,1675564734
123,leningradskiy,69.3833,178.4167,-31.25,99,100,1.84,RU,1675564779
124,sorsk,54.0033,90.2467,-15.65,98,96,0.84,RU,1675564780
125,pevek,69.7008,170.3133,-37.33,100,47,1.86,RU,1675564781
126,xai-xai,-25.0519,33.6442,23.37,87,21,3.15,MZ,1675564781
127,tual,-5.6667,132.75,26.52,85,100,8.59,ID,1675564782
128,bilibino,68.0546,166.4372,-35.8,96,14,1.38,RU,1675564782
129,bluff,-46.6,168.3333,15.37,93,100,0.62,NZ,1675564729
130,kraslava,55.8951,27.168,-7.17,93,100,3.5,LV,1675564783
131,los llanos de aridane,28.6585,-17.9182,14.51,55,75,4.63,ES,1675564783
132,alihe,50.5667,123.7167,-15.24,78,26,1.1,CN,1675564784
133,jiaocheng,24.6774,116.1389,16.14,89,100,0.75,CN,1675564784
134,kopanskaya,46.2779,38.4795,-0.17,90,100,3.08,RU,1675564785
135,saskylakh,71.9167,114.0833,-33.56,99,100,1.69,RU,1675564785
136,tazovskiy,67.4667,78.7,-12.12,96,100,1.89,RU,1675564786
137,palana,59.1167,159.9667,-16.97,96,75,1.6,RU,1675564787
138,kahului,20.8947,-156.47,26.01,68,20,9.77,US,1675564725
139,bousso,10.4795,16.7117,22.84,15,91,3.19,TD,1675564787
140,nemuro,43.3236,145.575,-4.49,58,8,1.68,JP,1675564788
141,dayong,25.0209,118.2898,13.74,96,100,0.99,CN,1675564788
142,esperance,-33.8667,121.9,27.36,42,0,3.06,AU,1675564760
143,ponta do sol,32.6667,-17.1,16.35,48,39,3.46,PT,1675564617
144,chokurdakh,70.6333,147.9167,-31.69,97,100,3.76,RU,1675564789
145,kavieng,-2.5744,150.7967,28.15,73,100,1.66,PG,1675564790
146,hermanus,-34.4187,19.2345,21.0,95,78,2.34,ZA,1675564698
147,caloundra,-26.8,153.1333,28.83,76,70,4.47,AU,1675564791
148,labuan,5.2767,115.2417,29.2,70,20,2.06,MY,1675564791
149,tevaitoa,-16.7833,-151.5,27.38,74,11,7.82,PF,1675564792
150,lorengau,-2.0226,147.2712,29.33,69,92,2.76,PG,1675564792
151,evensk,61.95,159.2333,-18.12,81,99,3.2,RU,1675564793
152,ayan,56.45,138.1667,-17.75,73,94,0.92,RU,1675564793
153,halifax,44.6453,-63.5724,-13.08,66,1,8.05,CA,1675563972
154,camacupa,-12.0167,17.4833,16.15,96,100,2.0,AO,1675564794
155,yagodnoye,62.55,149.6667,-25.71,96,100,0.71,RU,1675564794
156,sayyan,15.1718,44.3244,9.93,49,77,1.26,YE,1675564795
157,grand gaube,-20.0064,57.6608,26.22,85,95,5.2,MU,1675564796
158,ambilobe,-13.2,49.05,22.95,95,96,0.92,MG,1675564796
159,the pas,53.8251,-101.2541,-13.99,78,100,1.03,CA,1675564797
160,vanimo,-2.6741,141.3028,29.55,68,100,2.0,PG,1675564797
161,airai,-8.9266,125.4092,19.68,77,96,1.85,TL,1675564798
162,victoria,22.2855,114.1577,19.42,83,100,5.36,HK,1675564559
163,hithadhoo,-0.6,73.0833,26.75,71,28,5.64,MV,1675564798
164,el jicaro,14.9167,-89.9,20.68,94,42,1.75,GT,1675564799
165,atambua,-9.1061,124.8925,24.04,85,100,1.69,ID,1675564799
166,san matias,-16.3667,-58.4,23.54,91,92,1.89,BO,1675564800
167,caravelas,-17.7125,-39.2481,25.87,85,35,4.7,BR,1675564800
168,luxor,25.6989,32.6421,9.03,49,0,1.54,EG,1675564801
169,bengkulu,-3.8004,102.2655,27.61,71,87,2.98,ID,1675564627
170,litovko,49.2361,135.1742,-18.68,92,100,0.11,RU,1675564803
171,maniitsoq,65.4167,-52.9,-17.04,81,100,2.72,GL,1675564805
172,biak,-0.9131,122.8766,26.12,73,100,1.71,ID,1675564808
173,kaitangata,-46.2817,169.8464,22.63,69,100,2.26,NZ,1675564717
174,kiruna,67.8557,20.2251,-12.49,85,100,1.54,SE,1675564813
175,pacasmayo,-7.4006,-79.5714,22.81,76,99,4.17,PE,1675564814
176,lata,40.1629,-8.3327,5.5,62,0,2.23,PT,1675564822
177,constitucion,-35.3333,-72.4167,14.48,97,20,1.22,CL,1675564824
178,seydi,39.4816,62.9137,3.42,67,100,3.2,TM,1675564826
179,baykit,61.67,96.37,-16.87,99,98,1.09,RU,1675564828
180,salisbury,51.0693,-1.7957,9.45,91,75,4.12,GB,1675564579
181,gornopravdinsk,60.05,69.9,-19.76,100,100,1.37,RU,1675564830
182,igrim,63.1906,64.4162,-18.57,99,100,1.0,RU,1675564831
183,saldanha,-33.0117,17.9442,19.03,96,100,5.78,ZA,1675564832
184,codrington,-38.2667,141.9667,17.27,63,100,4.57,AU,1675564735
185,sechura,-5.5569,-80.8222,23.84,73,68,3.07,PE,1675564833
186,georgetown,5.4112,100.3354,27.97,74,20,2.57,MY,1675564616
187,westport,41.1415,-73.3579,-1.98,61,75,6.71,US,1675564834
188,bandarbeyla,9.4942,50.8122,22.68,75,99,6.14,SO,1675564834
189,sioux lookout,50.1001,-91.917,-15.96,85,100,0.0,CA,1675564674
190,polohy,47.4844,36.2536,-2.57,93,100,2.26,UA,1675564835
191,khatanga,71.9667,102.5,-40.26,100,52,2.06,RU,1675564772
192,buala,-8.145,159.5921,27.33,82,100,2.34,SB,1675564836
193,vila franca do campo,37.7167,-25.4333,14.23,86,1,3.22,PT,1675564836
194,porto velho,-8.7619,-63.9039,24.03,94,20,0.0,BR,1675564836
195,saint george,37.1041,-113.5841,11.33,51,0,2.57,US,1675564731
196,nanakuli,21.3906,-158.1547,24.97,65,20,4.63,US,1675564837
197,bathsheba,13.2167,-59.5167,26.34,73,40,7.72,BB,1675564826
198,sabak,3.7675,100.9875,28.66,68,71,1.41,MY,1675564838
199,buctzotz,21.2,-88.7833,21.22,80,15,2.65,MX,1675564838
200,havre-saint-pierre,50.2334,-63.5986,-17.0,55,100,6.69,CA,1675564839
201,villamontes,-21.25,-63.5,19.68,88,96,2.68,BO,1675564839
202,launceston,-41.45,147.1667,23.97,37,0,2.57,AU,1675564840
203,bredasdorp,-34.5322,20.0403,22.15,79,92,2.57,ZA,1675564840
204,lompoc,34.6391,-120.4579,15.99,84,75,4.47,US,1675564671
205,sinnamary,5.3833,-52.95,24.96,87,100,6.51,GF,1675564841
206,luau,-10.7073,22.2247,15.79,99,96,1.32,AO,1675564842
207,longyearbyen,78.2186,15.6401,-8.09,57,0,12.35,SJ,1675564615
208,xiaolingwei,32.0333,118.85,7.99,66,22,5.32,CN,1675564842
209,mecatlan,20.2167,-97.6667,13.17,85,17,1.35,MX,1675564843
210,camocim,-2.9022,-40.8411,24.66,91,27,4.06,BR,1675564844
211,katsuura,35.1333,140.3,9.87,56,41,6.17,JP,1675564844
212,aitape,-3.1374,142.3475,29.06,72,100,2.64,PG,1675564845
213,barra do garcas,-15.89,-52.2567,22.96,93,100,0.87,BR,1675564845
214,aklavik,68.2191,-135.0107,-41.79,100,38,1.35,CA,1675564846
215,ola,59.5833,151.2833,-19.37,77,19,2.88,RU,1675564847
216,novosokolniki,56.3463,30.1578,-7.39,94,98,3.55,RU,1675564847
217,khani,41.9563,42.9566,-2.24,62,91,2.88,GE,1675564848
218,batagay-alyta,67.8006,130.4114,-30.98,97,100,0.4,RU,1675564848
219,sangar,63.9242,127.4739,-29.68,96,100,1.05,RU,1675564849
220,okha,53.5739,142.9478,-21.85,93,64,5.65,RU,1675564849
221,cidreira,-30.1811,-50.2056,21.17,78,3,2.48,BR,1675564850
222,balkanabat,39.5108,54.3671,5.45,28,99,2.89,TM,1675564850
223,noboribetsu,42.4514,141.1731,-0.91,64,46,6.37,JP,1675564851
224,ilulissat,69.2167,-51.1,-20.99,59,17,0.51,GL,1675564851
225,alta floresta,-9.8756,-56.0861,20.84,98,92,0.96,BR,1675564749
226,mangai,-4.05,19.5333,19.61,90,89,1.04,CD,1675564852
227,ulaangom,49.9811,92.0667,-23.29,93,100,0.16,MN,1675564656
228,buraydah,26.326,43.975,11.25,41,0,3.81,SA,1675564707
229,montepuez,-13.1256,38.9997,20.28,98,100,0.71,MZ,1675564853
230,ribeira grande,38.5167,-28.7,16.54,89,16,6.71,PT,1675564853
231,guerrero,17.6667,-100.0,17.93,72,8,2.1,MX,1675564854
